efoId,efoName,GeneId,source,score,evidenceCount,lcc_sig
EFO_0000275,atrial fibrillation,ETV1,genetic_association,0.162443668217281,5,False
EFO_0000275,atrial fibrillation,MLXIPL,genetic_association,0.232225324699402,2,False
EFO_0000275,atrial fibrillation,BAZ1B,genetic_association,0.261090342216219,1,False
EFO_0000275,atrial fibrillation,SCMH1,genetic_association,0.405546258070311,1,False
EFO_0000275,atrial fibrillation,CEP68,genetic_association,0.633907446396329,9,False
EFO_0000275,atrial fibrillation,HSF2,genetic_association,0.430320183008232,8,False
EFO_0000275,atrial fibrillation,FAM13B,genetic_association,0.578919918420817,10,False
EFO_0000275,atrial fibrillation,CLEC16A,genetic_association,0.158039300041067,1,False
EFO_0000275,atrial fibrillation,MYO16,genetic_association,0.195450333229311,1,False
EFO_0000275,atrial fibrillation,EPHA3,genetic_association,0.696547421196115,6,False
EFO_0000275,atrial fibrillation,GOPC,genetic_association,0.433114769424333,1,False
EFO_0000275,atrial fibrillation,SYNE2,genetic_association,0.5095975606584591,7,False
EFO_0000275,atrial fibrillation,KCNH2,genetic_association,0.5281012121040171,5,False
EFO_0000275,atrial fibrillation,TAB2,genetic_association,0.138710608665191,4,False
EFO_0000275,atrial fibrillation,USP36,genetic_association,0.135259472971313,1,False
EFO_0000275,atrial fibrillation,PKP2,genetic_association,0.755156902143544,5,False
EFO_0000275,atrial fibrillation,MXD1,genetic_association,0.5787651471017371,5,False
EFO_0000275,atrial fibrillation,PRDM6,genetic_association,0.527831103241875,1,False
EFO_0000275,atrial fibrillation,WNT8A,genetic_association,0.304356344706183,10,False
EFO_0000275,atrial fibrillation,POLD1,genetic_association,0.16497992280442,3,False
EFO_0000275,atrial fibrillation,ZFAT,genetic_association,0.468014084629531,1,False
EFO_0000275,atrial fibrillation,PITX1,genetic_association,0.476547363522975,1,False
EFO_0000275,atrial fibrillation,NUCKS1,genetic_association,0.530550829095222,3,False
EFO_0000275,atrial fibrillation,BCL3,genetic_association,0.354677342346707,1,False
EFO_0000275,atrial fibrillation,SMG6,genetic_association,0.365179187207344,1,False
EFO_0000275,atrial fibrillation,WDR1,genetic_association,0.395617586336647,1,False
EFO_0000275,atrial fibrillation,ARHGAP10,genetic_association,0.662152586092953,3,False
EFO_0000275,atrial fibrillation,GSDMB,genetic_association,0.273715383507617,2,False
EFO_0000275,atrial fibrillation,BAZ2A,genetic_association,0.130568999975026,3,False
EFO_0000275,atrial fibrillation,NEBL,genetic_association,0.514752142327594,4,False
EFO_0000275,atrial fibrillation,PCM1,genetic_association,0.306344139300803,2,False
EFO_0000275,atrial fibrillation,PKD2L2,genetic_association,0.218433661989024,10,False
EFO_0000275,atrial fibrillation,FKBP7,genetic_association,0.181175851522831,9,False
EFO_0000275,atrial fibrillation,REXO1,genetic_association,0.2004739503729,1,False
EFO_0000275,atrial fibrillation,DUSP13,genetic_association,0.195347714295465,1,False
EFO_0000275,atrial fibrillation,KCNN2,genetic_association,0.7471217826832851,6,False
EFO_0000275,atrial fibrillation,SEMA5B,genetic_association,0.583305378800218,2,False
EFO_0000275,atrial fibrillation,XPO1,genetic_association,0.275337852646343,3,False
EFO_0000275,atrial fibrillation,APOB,genetic_association,0.211293761739364,1,False
EFO_0000275,atrial fibrillation,KIF3C,genetic_association,0.604513741719322,3,False
EFO_0000275,atrial fibrillation,GCKR,genetic_association,0.289542746103195,1,False
EFO_0000275,atrial fibrillation,CAD,genetic_association,0.206158321845123,1,False
EFO_0000275,atrial fibrillation,MGST2,genetic_association,0.163516603752886,1,False
EFO_0000275,atrial fibrillation,MYBPC2,genetic_association,0.116836416874837,3,False
EFO_0000275,atrial fibrillation,CETP,genetic_association,0.344125854852112,1,False
